time,OBS1,OBS2
3220.000000000,0.3230928808E-03,0.6257892581E-08
3230.000000000,0.3091768379E-03,0.7297946116E-08
3240.000000000,0.2958615975E-03,0.8501447366E-08
3250.000000000,0.2831211344E-03,0.9892531966E-08
3260.000000000,0.2709305560E-03,0.1149865685E-07
3270.000000000,0.2592660532E-03,0.1335102140E-07
3280.000000000,0.2481048526E-03,0.1548503695E-07
3290.000000000,0.2374251712E-03,0.1794084964E-07
3300.000000000,0.2272061730E-03,0.2076392189E-07
3310.000000000,0.2174279276E-03,0.2400567826E-07
3320.000000000,0.2080713706E-03,0.2772422204E-07
3330.000000000,0.1991182655E-03,0.3198512916E-07
3340.000000000,0.1905511680E-03,0.3686232686E-07
3350.000000000,0.1823533909E-03,0.4243906485E-07
3360.000000000,0.1745089711E-03,0.4880898745E-07
3370.000000000,0.1670026384E-03,0.5607731574E-07
3380.000000000,0.1598197848E-03,0.6436214935E-07
3390.000000000,0.1529464358E-03,0.7379589840E-07
3400.000000000,0.1463692229E-03,0.8452685650E-07
3410.000000000,0.1400753569E-03,0.9672092680E-07
3420.000000000,0.1340526028E-03,0.1105635135E-06
3430.000000000,0.1282892560E-03,0.1262615921E-06
3440.000000000,0.1227741185E-03,0.1440459733E-06
3450.000000000,0.1174964774E-03,0.1641737738E-06
3460.000000000,0.1124460836E-03,0.1869311126E-06
3470.000000000,0.1076131318E-03,0.2126360462E-06
3480.000000000,0.1029882409E-03,0.2416417634E-06
3490.000000000,0.9856243576E-04,0.2743400565E-06
3500.000000000,0.9432712950E-04,0.3111650879E-06
3510.000000000,0.9027410669E-04,0.3525974746E-06
3520.000000000,0.8639550718E-04,0.3991687090E-06
3530.000000000,0.8268381064E-04,0.4514659407E-06
3540.000000000,0.7913182188E-04,0.5101371402E-06
3550.000000000,0.7573265667E-04,0.5758966705E-06
3560.000000000,0.7247972830E-04,0.6495312887E-06
3570.000000000,0.6936673464E-04,0.7319066063E-06
3580.000000000,0.6638764583E-04,0.8239740316E-06
3590.000000000,0.6353669246E-04,0.9267782230E-06
3600.000000000,0.6080835427E-04,0.1041465081E-05
3610.000000000,0.5819734939E-04,0.1169290304E-05
3620.000000000,0.5569862397E-04,0.1311628547E-05
3630.000000000,0.5330734233E-04,0.1469983192E-05
3640.000000000,0.5101887750E-04,0.1645996787E-05
3650.000000000,0.4882880220E-04,0.1841462159E-05
3660.000000000,0.4673288017E-04,0.2058334248E-05
3670.000000000,0.4472705794E-04,0.2298742682E-05
3680.000000000,0.4280745687E-04,0.2565005125E-05
3690.000000000,0.4097036564E-04,0.2859641436E-05
3700.000000000,0.3921223298E-04,0.3185388655E-05
3710.000000000,0.3752966075E-04,0.3545216856E-05
3720.000000000,0.3591939733E-04,0.3942345886E-05
3730.000000000,0.3437833130E-04,0.4380263027E-05
3740.000000000,0.3290348532E-04,0.4862741597E-05
3750.000000000,0.3149201043E-04,0.5393860519E-05
3760.000000000,0.3014118041E-04,0.5978024886E-05
3770.000000000,0.2884838654E-04,0.6619987529E-05
3780.000000000,0.2761113250E-04,0.7324871625E-05
3790.000000000,0.2642702950E-04,0.8098194348E-05
3800.000000000,0.2529379169E-04,0.8945891580E-05
3810.000000000,0.2420923165E-04,0.9874343701E-05
3820.000000000,0.2317125619E-04,0.1089040245E-04
3830.000000000,0.2217786225E-04,0.1200141890E-04
3840.000000000,0.2122713305E-04,0.1321527246E-04
3850.000000000,0.2031723430E-04,0.1454040104E-04
3860.000000000,0.1944641074E-04,0.1598583224E-04
3870.000000000,0.1861298262E-04,0.1756121561E-04
3880.000000000,0.1781534252E-04,0.1927685600E-04
3890.000000000,0.1705195221E-04,0.2114374786E-04
3900.000000000,0.1632133966E-04,0.2317361064E-04
3910.000000000,0.1562209620E-04,0.2537892508E-04
3920.000000000,0.1495287374E-04,0.2777297048E-04
3930.000000000,0.1431238224E-04,0.3036986283E-04
3940.000000000,0.1369938714E-04,0.3318459378E-04
3950.000000000,0.1311270699E-04,0.3623307043E-04
3960.000000000,0.1255121119E-04,0.3953215578E-04
3970.000000000,0.1201381774E-04,0.4309970985E-04
3980.000000000,0.1149949119E-04,0.4695463138E-04
3990.000000000,0.1100724064E-04,0.5111690002E-04
4000.000000000,0.1053611778E-04,0.5560761886E-04
4010.000000000,0.1008521509E-04,0.6044905733E-04
4020.000000000,0.9653664082E-05,0.6566469423E-04
4030.000000000,0.9240633601E-05,0.7127926085E-04
4040.000000000,0.8845328227E-05,0.7731878401E-04
4050.000000000,0.8466986738E-05,0.8381062902E-04
4060.000000000,0.8104880635E-05,0.9078354217E-04
4070.000000000,0.7758312738E-05,0.9826769289E-04
4080.000000000,0.7426615829E-05,0.1062947153E-03
4090.000000000,0.7109151371E-05,0.1148977487E-03
4100.000000000,0.6805308269E-05,0.1241114779E-03
4110.000000000,0.6514501692E-05,0.1339721713E-03
4120.000000000,0.6236171940E-05,0.1445177186E-03
4130.000000000,0.5969783364E-05,0.1557876668E-03
4140.000000000,0.5714823330E-05,0.1678232547E-03
4150.000000000,0.5470801233E-05,0.1806674447E-03
4160.000000000,0.5237247545E-05,0.1943649538E-03
4170.000000000,0.5013712909E-05,0.2089622818E-03
4180.000000000,0.4799767273E-05,0.2245077365E-03
4190.000000000,0.4594999059E-05,0.2410514575E-03
4200.000000000,0.4399014369E-05,0.2586454357E-03
4210.000000000,0.4211436224E-05,0.2773435310E-03
4220.000000000,0.4031903837E-05,0.2972014860E-03
4230.000000000,0.3860071915E-05,0.3182769361E-03
4240.000000000,0.3695609997E-05,0.3406294165E-03
4250.000000000,0.3538201812E-05,0.3643203647E-03
4260.000000000,0.3387544672E-05,0.3894131192E-03
4270.000000000,0.3243348886E-05,0.4159729139E-03
4280.000000000,0.3105337203E-05,0.4440668675E-03
4290.000000000,0.2973244276E-05,0.4737639691E-03
4300.000000000,0.2846816152E-05,0.5051350577E-03
4310.000000000,0.2725809780E-05,0.5382527975E-03
4320.000000000,0.2609992544E-05,0.5731916477E-03
4330.000000000,0.2499141817E-05,0.6100278270E-03
4340.000000000,0.2393044525E-05,0.6488392717E-03
4350.000000000,0.2291496745E-05,0.6897055894E-03
4360.000000000,0.2194303306E-05,0.7327080057E-03
4370.000000000,0.2101277413E-05,0.7779293055E-03
4380.000000000,0.2012240291E-05,0.8254537678E-03
4390.000000000,0.1927020838E-05,0.8753670949E-03
4400.000000000,0.1845455295E-05,0.9277563345E-03
4410.000000000,0.1767386932E-05,0.9827097963E-03
4420.000000000,0.1692665745E-05,0.1040316962E-02
4430.000000000,0.1621148167E-05,0.1100668386E-02
4440.000000000,0.1552696793E-05,0.1163855599E-02
4450.000000000,0.1487180114E-05,0.1229970990E-02
4460.000000000,0.1424472265E-05,0.1299107695E-02
4470.000000000,0.1364452782E-05,0.1371359477E-02
4480.000000000,0.1307006367E-05,0.1446820591E-02
4490.000000000,0.1252022674E-05,0.1525585654E-02
4500.000000000,0.1199396087E-05,0.1607749503E-02
4510.000000000,0.1149025525E-05,0.1693407047E-02
4520.000000000,0.1100814242E-05,0.1782653115E-02
4530.000000000,0.1054669642E-05,0.1875582296E-02
4540.000000000,0.1010503104E-05,0.1972288777E-02
4550.000000000,0.9682298061E-06,0.2072866172E-02
4560.000000000,0.9277685669E-06,0.2177407347E-02
4570.000000000,0.8890416872E-06,0.2286004245E-02
4580.000000000,0.8519748005E-06,0.2398747693E-02
4590.000000000,0.8164967307E-06,0.2515727224E-02
4600.000000000,0.7825393545E-06,0.2637030879E-02
4610.000000000,0.7500374710E-06,0.2762745010E-02
4620.000000000,0.7189286755E-06,0.2892954086E-02
4630.000000000,0.6891532404E-06,0.3027740487E-02
4640.000000000,0.6606539996E-06,0.3167184300E-02
4650.000000000,0.6333762388E-06,0.3311363112E-02
4660.000000000,0.6072675905E-06,0.3460351805E-02
4670.000000000,0.5822779329E-06,0.3614222340E-02
4680.000000000,0.5583592940E-06,0.3773043552E-02
4690.000000000,0.5354657590E-06,0.3936880934E-02
4700.000000000,0.5135533822E-06,0.4105796433E-02
4710.000000000,0.4925801024E-06,0.4279848231E-02
4720.000000000,0.4725056622E-06,0.4459090542E-02
4730.000000000,0.4532915304E-06,0.4643573401E-02
4740.000000000,0.4349008283E-06,0.4833342462E-02
4750.000000000,0.4172982583E-06,0.5028438788E-02
4760.000000000,0.4004500367E-06,0.5228898659E-02
4770.000000000,0.3843238280E-06,0.5434753370E-02
4780.000000000,0.3688886834E-06,0.5646029041E-02
4790.000000000,0.3541149813E-06,0.5862746429E-02
4800.000000000,0.3399743698E-06,0.6084920745E-02
4810.000000000,0.3264397129E-06,0.6312561477E-02
4820.000000000,0.3134850378E-06,0.6545672222E-02
4830.000000000,0.3010854856E-06,0.6784250521E-02
4840.000000000,0.2892172628E-06,0.7028287699E-02
4850.000000000,0.2778575964E-06,0.7277768722E-02
4860.000000000,0.2669846893E-06,0.7532672053E-02
4870.000000000,0.2565776793E-06,0.7792969522E-02
4880.000000000,0.2466165983E-06,0.8058626200E-02
4890.000000000,0.2370823343E-06,0.8329600291E-02
4900.000000000,0.2279565947E-06,0.8605843024E-02
4910.000000000,0.2192218709E-06,0.8887298564E-02
4920.000000000,0.2108614051E-06,0.9173903928E-02
4930.000000000,0.2028591578E-06,0.9465588917E-02
4940.000000000,0.1951997768E-06,0.9762276053E-02
4950.000000000,0.1878685684E-06,0.1006388054E-01
4960.000000000,0.1808514685E-06,0.1037031021E-01
4970.000000000,0.1741350159E-06,0.1068146553E-01
4980.000000000,0.1677063264E-06,0.1099723957E-01
4990.000000000,0.1615530682E-06,0.1131751802E-01
